,characters,digits,lowercase,uppercase,user,user_group
43,,126.0,26.0,23.0,f2568_54,hsf_4
44,,116.0,26.0,25.0,f2293_68,hsf_4
45,,118.0,26.0,24.0,f2161_58,hsf_4
46,,124.0,25.0,26.0,f2323_81,hsf_4
47,,98.0,21.0,25.0,f2553_92,hsf_4
48,,101.0,24.0,24.0,f2486_95,hsf_4
49,,121.0,23.0,23.0,f2529_70,hsf_4
50,,117.0,23.0,23.0,f2492_72,hsf_4
51,,119.0,25.0,23.0,f2297_69,hsf_4
52,,64.0,20.0,6.0,f2504_69,hsf_4
53,,120.0,26.0,26.0,f2475_66,hsf_4
54,,123.0,26.0,26.0,f2523_65,hsf_4
55,,112.0,25.0,24.0,f2300_52,hsf_4
56,,120.0,26.0,26.0,f2535_60,hsf_4
57,,127.0,25.0,25.0,f2351_74,hsf_4
58,,119.0,25.0,25.0,f2380_76,hsf_4
59,,119.0,18.0,23.0,f2231_55,hsf_4
60,,130.0,26.0,23.0,f2131_73,hsf_4
61,,117.0,28.0,26.0,f2259_68,hsf_4
62,,122.0,24.0,24.0,f2389_86,hsf_4
63,,103.0,23.0,21.0,f2207_75,hsf_4
64,,100.0,24.0,22.0,f2152_98,hsf_4
65,,128.0,26.0,26.0,f2374_59,hsf_4
66,,121.0,25.0,25.0,f2493_99,hsf_4
67,,126.0,26.0,24.0,f2413_87,hsf_4
68,,129.0,24.0,23.0,f2179_58,hsf_4
69,,121.0,23.0,25.0,f2483_64,hsf_4
70,,119.0,23.0,20.0,f2408_73,hsf_4
71,,130.0,22.0,26.0,f2326_83,hsf_4
72,,130.0,25.0,26.0,f2279_94,hsf_4
73,,126.0,25.0,26.0,f2193_99,hsf_4
74,,126.0,26.0,26.0,f2429_95,hsf_4
75,,112.0,21.0,22.0,f2219_62,hsf_4
76,,122.0,25.0,25.0,f2453_70,hsf_4
77,,115.0,25.0,26.0,f2567_60,hsf_4
78,,126.0,25.0,24.0,f2172_67,hsf_4
79,,120.0,25.0,23.0,f2571_62,hsf_4
80,,130.0,26.0,24.0,f2217_71,hsf_4
81,,97.0,19.0,25.0,f2197_62,hsf_4
82,,115.0,24.0,25.0,f2265_80,hsf_4
83,,125.0,26.0,23.0,f2383_60,hsf_4
84,,123.0,26.0,25.0,f2412_86,hsf_4
85,,124.0,25.0,26.0,f2510_55,hsf_4
86,,98.0,22.0,21.0,f2489_89,hsf_4
87,,134.0,26.0,26.0,f2406_72,hsf_4
88,,129.0,24.0,26.0,f2446_88,hsf_4
89,,130.0,26.0,26.0,f2402_75,hsf_4
90,,111.0,24.0,20.0,f2302_58,hsf_4
91,,122.0,22.0,23.0,f2333_98,hsf_4
92,,107.0,23.0,24.0,f2282_53,hsf_4
93,,127.0,22.0,21.0,f2353_70,hsf_4
94,,98.0,23.0,13.0,f2137_90,hsf_4
95,,104.0,23.0,24.0,f2304_67,hsf_4
96,,126.0,25.0,23.0,f2534_96,hsf_4
97,,125.0,25.0,20.0,f2294_71,hsf_4
98,,122.0,23.0,25.0,f2469_50,hsf_4
99,,97.0,23.0,23.0,f2251_74,hsf_4
100,,114.0,27.0,25.0,f2588_72,hsf_4
101,,118.0,23.0,21.0,f2195_64,hsf_4
102,,130.0,26.0,26.0,f2591_70,hsf_4
103,,131.0,25.0,26.0,f2268_88,hsf_4
104,,102.0,21.0,10.0,f2422_85,hsf_4
105,,111.0,23.0,22.0,f2288_58,hsf_4
106,,101.0,22.0,22.0,f2254_72,hsf_4
107,,99.0,25.0,25.0,f2108_54,hsf_4
108,,116.0,22.0,25.0,f2590_60,hsf_4
109,,79.0,17.0,20.0,f2329_94,hsf_4
110,,124.0,23.0,23.0,f2572_63,hsf_4
111,,121.0,24.0,24.0,f2324_84,hsf_4
112,,122.0,26.0,26.0,f2509_53,hsf_4
113,,124.0,25.0,27.0,f2419_83,hsf_4
114,,119.0,24.0,26.0,f2285_54,hsf_4
115,,119.0,26.0,27.0,f2516_59,hsf_4
116,,107.0,20.0,21.0,f2373_53,hsf_4
117,,124.0,26.0,22.0,f2515_57,hsf_4
118,,111.0,26.0,21.0,f2227_89,hsf_4
119,,111.0,26.0,26.0,f2403_71,hsf_4
120,,117.0,18.0,24.0,f2276_91,hsf_4
121,,91.0,23.0,25.0,f2278_93,hsf_4
122,,126.0,25.0,25.0,f2393_90,hsf_4
123,,118.0,27.0,24.0,f2560_93,hsf_4
124,,118.0,25.0,28.0,f2167_65,hsf_4
125,,113.0,24.0,21.0,f2327_90,hsf_4
126,,106.0,22.0,22.0,f2117_54,hsf_4
127,,103.0,25.0,24.0,f2267_78,hsf_4
128,,118.0,24.0,22.0,f2444_84,hsf_4
129,,117.0,26.0,26.0,f2138_72,hsf_4
130,,126.0,25.0,24.0,f2234_78,hsf_4
131,,107.0,24.0,26.0,f2338_70,hsf_4
132,,125.0,22.0,26.0,f2287_60,hsf_4
133,,106.0,25.0,24.0,f2364_65,hsf_4
134,,119.0,24.0,24.0,f2542_55,hsf_4
135,,97.0,26.0,25.0,f2592_71,hsf_4
136,,118.0,27.0,17.0,f2445_82,hsf_4
137,,121.0,25.0,25.0,f2526_71,hsf_4
138,,130.0,25.0,24.0,f2474_84,hsf_4
139,,98.0,26.0,23.0,f2187_54,hsf_4
140,,110.0,26.0,24.0,f2435_57,hsf_4
141,,115.0,20.0,11.0,f2218_51,hsf_4
142,,123.0,26.0,25.0,f2277_92,hsf_4
143,,128.0,25.0,25.0,f2100_97,hsf_4
144,,120.0,25.0,25.0,f2427_89,hsf_4
145,,117.0,23.0,24.0,f2274_95,hsf_4
146,,123.0,25.0,25.0,f2201_80,hsf_4
147,,127.0,24.0,25.0,f2204_78,hsf_4
148,,125.0,24.0,24.0,f2216_66,hsf_4
149,,127.0,26.0,26.0,f2198_58,hsf_4
150,,112.0,22.0,24.0,f2330_95,hsf_4
151,,111.0,18.0,25.0,f2440_79,hsf_4
152,,90.0,23.0,25.0,f2202_76,hsf_4
153,,118.0,25.0,23.0,f2544_53,hsf_4
154,,126.0,21.0,25.0,f2111_87,hsf_4
155,,120.0,24.0,26.0,f2404_70,hsf_4
156,,118.0,25.0,23.0,f2280_57,hsf_4
157,,116.0,26.0,22.0,f2488_90,hsf_4
158,,128.0,26.0,29.0,f2530_91,hsf_4
159,,95.0,21.0,24.0,f2400_61,hsf_4
160,,130.0,26.0,26.0,f2540_95,hsf_4
161,,114.0,20.0,23.0,f2463_79,hsf_4
162,,108.0,22.0,23.0,f2441_83,hsf_4
163,,122.0,22.0,25.0,f2348_56,hsf_4
164,,119.0,23.0,25.0,f2447_93,hsf_4
165,,124.0,22.0,24.0,f2159_53,hsf_4
166,,109.0,24.0,23.0,f2565_57,hsf_4
167,,112.0,27.0,23.0,f2550_79,hsf_4
168,,130.0,25.0,25.0,f2584_73,hsf_4
169,,124.0,24.0,21.0,f2508_71,hsf_4
170,,118.0,27.0,26.0,f2424_90,hsf_4
171,,105.0,19.0,26.0,f2426_87,hsf_4
172,,123.0,24.0,24.0,f2186_55,hsf_4
173,,120.0,25.0,25.0,f2407_74,hsf_4
174,,66.0,25.0,26.0,f2344_86,hsf_4
175,,130.0,26.0,26.0,f2281_52,hsf_4
176,,124.0,27.0,24.0,f2519_67,hsf_4
177,,107.0,24.0,23.0,f2381_54,hsf_4
178,,110.0,26.0,23.0,f2162_62,hsf_4
179,,108.0,16.0,22.0,f2205_74,hsf_4
180,,120.0,21.0,24.0,f2209_79,hsf_4
181,,114.0,24.0,25.0,f2208_81,hsf_4
182,,127.0,24.0,25.0,f2578_68,hsf_4
183,,75.0,20.0,20.0,f2421_86,hsf_4
184,,126.0,25.0,26.0,f2148_78,hsf_4
185,,117.0,22.0,23.0,f2132_69,hsf_4
186,,130.0,24.0,25.0,f2258_85,hsf_4
187,,125.0,26.0,26.0,f2129_55,hsf_4
188,,107.0,25.0,26.0,f2176_64,hsf_4
189,,91.0,19.0,23.0,f2309_54,hsf_4
190,,119.0,19.0,25.0,f2306_63,hsf_4
191,,103.0,23.0,24.0,f2431_93,hsf_4
192,,122.0,22.0,25.0,f2315_59,hsf_4
193,,107.0,22.0,21.0,f2260_57,hsf_4
194,,128.0,24.0,24.0,f2577_65,hsf_4
195,,90.0,23.0,24.0,f2449_96,hsf_4
196,,126.0,25.0,26.0,f2369_56,hsf_4
197,,121.0,24.0,26.0,f2283_59,hsf_4
198,,118.0,25.0,26.0,f2257_69,hsf_4
199,,119.0,25.0,22.0,f2337_71,hsf_4
200,,115.0,25.0,25.0,f2395_78,hsf_4
201,,128.0,26.0,24.0,f2520_64,hsf_4
202,,120.0,24.0,26.0,f2371_68,hsf_4
203,,103.0,26.0,24.0,f2236_83,hsf_4
204,,118.0,24.0,21.0,f2211_73,hsf_4
205,,118.0,20.0,23.0,f2203_77,hsf_4
206,,110.0,20.0,27.0,f2243_87,hsf_4
207,,130.0,21.0,21.0,f2513_56,hsf_4
208,,116.0,26.0,25.0,f2239_84,hsf_4
209,,90.0,24.0,23.0,f2169_69,hsf_4
210,,123.0,25.0,26.0,f2525_62,hsf_4
211,,122.0,21.0,24.0,f2173_74,hsf_4
212,,128.0,24.0,25.0,f2308_56,hsf_4
213,,130.0,26.0,26.0,f2226_85,hsf_4
214,,92.0,21.0,22.0,f2589_78,hsf_4
215,,130.0,25.0,26.0,f2178_93,hsf_4
216,,97.0,20.0,23.0,f2215_69,hsf_4
217,,123.0,24.0,22.0,f2461_99,hsf_4
218,,125.0,26.0,22.0,f2298_74,hsf_4
219,,112.0,22.0,19.0,f2151_92,hsf_4
220,,105.0,22.0,20.0,f2170_68,hsf_4
221,,124.0,23.0,25.0,f2455_72,hsf_4
222,,128.0,25.0,24.0,f2566_51,hsf_4
223,,123.0,24.0,23.0,f2264_82,hsf_4
224,,122.0,23.0,26.0,f2319_77,hsf_4
225,,97.0,20.0,22.0,f2575_67,hsf_4
226,,119.0,26.0,26.0,f2574_64,hsf_4
227,,128.0,27.0,26.0,f2511_52,hsf_4
228,,95.0,19.0,18.0,f2583_71,hsf_4
229,,123.0,24.0,25.0,f2417_81,hsf_4
230,,117.0,20.0,25.0,f2314_53,hsf_4
231,,118.0,20.0,23.0,f2107_53,hsf_4
232,,109.0,24.0,26.0,f2499_74,hsf_4
233,,118.0,25.0,26.0,f2585_74,hsf_4
234,,116.0,26.0,25.0,f2450_56,hsf_4
235,,119.0,25.0,26.0,f2342_82,hsf_4
236,,129.0,26.0,26.0,f2113_94,hsf_4
237,,118.0,27.0,26.0,f2241_88,hsf_4
238,,128.0,22.0,25.0,f2343_83,hsf_4
239,,129.0,24.0,25.0,f2594_90,hsf_4
240,,130.0,25.0,26.0,f2538_60,hsf_4
241,,125.0,26.0,26.0,f2409_51,hsf_4
242,,126.0,24.0,22.0,f2184_98,hsf_4
243,,112.0,24.0,25.0,f2385_83,hsf_4
244,,98.0,22.0,17.0,f2249_75,hsf_4
245,,118.0,23.0,24.0,f2250_52,hsf_4
246,,130.0,24.0,26.0,f2303_66,hsf_4
247,,118.0,23.0,26.0,f2460_52,hsf_4
248,,127.0,25.0,25.0,f2527_72,hsf_4
249,,130.0,23.0,25.0,f2382_52,hsf_4
250,,124.0,25.0,26.0,f2245_95,hsf_4
251,,117.0,26.0,24.0,f2433_75,hsf_4
252,,122.0,24.0,24.0,f2503_57,hsf_4
253,,112.0,23.0,22.0,f2126_57,hsf_4
254,,116.0,21.0,24.0,f2275_90,hsf_4
255,,124.0,26.0,25.0,f2160_96,hsf_4
256,,124.0,21.0,24.0,f2496_56,hsf_4
257,,118.0,26.0,26.0,f2387_81,hsf_4
258,,127.0,25.0,24.0,f2454_73,hsf_4
259,,119.0,26.0,25.0,f2442_81,hsf_4
260,,124.0,24.0,24.0,f2358_71,hsf_4
261,,115.0,20.0,24.0,f2154_77,hsf_4
262,,128.0,23.0,25.0,f2142_69,hsf_4
263,,70.0,28.0,21.0,f2443_80,hsf_4
264,,116.0,26.0,26.0,f2416_80,hsf_4
265,,124.0,24.0,23.0,f2156_56,hsf_4
266,,127.0,26.0,24.0,f2242_91,hsf_4
267,,125.0,26.0,25.0,f2354_87,hsf_4
268,,123.0,24.0,25.0,f2114_50,hsf_4
269,,129.0,25.0,25.0,f2164_60,hsf_4
270,,128.0,22.0,23.0,f2425_91,hsf_4
271,,125.0,25.0,24.0,f2284_51,hsf_4
272,,122.0,24.0,26.0,f2411_88,hsf_4
273,,119.0,24.0,26.0,f2466_76,hsf_4
274,,125.0,21.0,22.0,f2235_81,hsf_4
275,,125.0,24.0,23.0,f2368_50,hsf_4
276,,121.0,18.0,26.0,f2365_62,hsf_4
277,,111.0,23.0,25.0,f2286_50,hsf_4
278,,97.0,23.0,23.0,f2599_91,hsf_4
279,,126.0,25.0,26.0,f2345_87,hsf_4
280,,122.0,23.0,21.0,f2580_69,hsf_4
281,,87.0,22.0,25.0,f2158_68,hsf_4
282,,121.0,24.0,17.0,f2397_92,hsf_4
283,,130.0,26.0,26.0,f2122_65,hsf_4
284,,117.0,27.0,26.0,f2399_85,hsf_4
285,,119.0,29.0,19.0,f2350_98,hsf_4
286,,124.0,23.0,23.0,f2123_63,hsf_4
287,,123.0,26.0,25.0,f2361_74,hsf_4
288,,124.0,25.0,25.0,f2125_64,hsf_4
289,,125.0,26.0,25.0,f2401_78,hsf_4
290,,102.0,22.0,26.0,f2171_70,hsf_4
291,,130.0,24.0,23.0,f2581_72,hsf_4
292,,108.0,25.0,23.0,f2133_68,hsf_4
293,,115.0,26.0,24.0,f2552_82,hsf_4
294,,114.0,19.0,23.0,f2317_76,hsf_4
295,,124.0,25.0,26.0,f2512_54,hsf_4
296,,124.0,24.0,24.0,f2377_66,hsf_4
297,,123.0,26.0,24.0,f2363_77,hsf_4
298,,116.0,26.0,21.0,f2321_84,hsf_4
299,,120.0,24.0,23.0,f2140_77,hsf_4
300,,116.0,26.0,26.0,f2318_78,hsf_4
301,,122.0,24.0,25.0,f2141_85,hsf_4
302,,115.0,26.0,26.0,f2222_84,hsf_4
303,,119.0,22.0,21.0,f2360_75,hsf_4
304,,104.0,23.0,18.0,f2598_92,hsf_4
305,,124.0,26.0,25.0,f2228_87,hsf_4
306,,128.0,22.0,26.0,f2290_64,hsf_4
307,,105.0,23.0,26.0,f2366_64,hsf_4
308,,131.0,26.0,26.0,f2477_69,hsf_4
309,,121.0,24.0,26.0,f2531_92,hsf_4
310,,99.0,20.0,23.0,f2149_81,hsf_4
311,,130.0,25.0,27.0,f2110_56,hsf_4
312,,114.0,22.0,25.0,f2256_71,hsf_4
313,,130.0,26.0,25.0,f2420_84,hsf_4
314,,111.0,24.0,24.0,f2347_58,hsf_4
315,,119.0,26.0,24.0,f2507_78,hsf_4
316,,100.0,21.0,22.0,f2439_77,hsf_4
317,,120.0,26.0,25.0,f2418_82,hsf_4
318,,125.0,23.0,25.0,f2181_63,hsf_4
319,,100.0,24.0,19.0,f2206_73,hsf_4
320,,121.0,24.0,26.0,f2155_59,hsf_4
321,,125.0,24.0,26.0,f2551_80,hsf_4
322,,130.0,26.0,24.0,f2470_80,hsf_4
323,,115.0,21.0,23.0,f2192_56,hsf_4
324,,115.0,21.0,22.0,f2312_87,hsf_4
325,,128.0,26.0,24.0,f2573_61,hsf_4
326,,125.0,25.0,23.0,f2210_96,hsf_4
327,,125.0,24.0,26.0,f2481_58,hsf_4
328,,115.0,26.0,25.0,f2262_83,hsf_4
329,,124.0,24.0,23.0,f2194_63,hsf_4
330,,91.0,26.0,24.0,f2524_58,hsf_4
331,,128.0,26.0,22.0,f2501_53,hsf_4
332,,124.0,25.0,26.0,f2428_96,hsf_4
333,,118.0,28.0,24.0,f2490_91,hsf_4
334,,126.0,25.0,23.0,f2522_61,hsf_4
335,,96.0,16.0,17.0,f2145_89,hsf_4
336,,120.0,24.0,22.0,f2356_86,hsf_4
337,,77.0,15.0,23.0,f2177_57,hsf_4
338,,126.0,19.0,18.0,f2188_71,hsf_4
339,,130.0,25.0,23.0,f2213_72,hsf_4
340,,129.0,24.0,26.0,f2376_57,hsf_4
341,,128.0,26.0,26.0,f2457_97,hsf_4
342,,125.0,24.0,23.0,f2595_89,hsf_4
343,,117.0,20.0,24.0,f2212_74,hsf_4
344,,117.0,23.0,23.0,f2127_59,hsf_4
345,,118.0,25.0,26.0,f2405_90,hsf_4
346,,123.0,23.0,23.0,f2582_70,hsf_4
347,,130.0,26.0,21.0,f2112_65,hsf_4
348,,119.0,22.0,20.0,f2563_91,hsf_4
349,,122.0,27.0,25.0,f2459_55,hsf_4
350,,115.0,21.0,16.0,f2220_72,hsf_4
351,,119.0,25.0,23.0,f2252_75,hsf_4
352,,124.0,25.0,26.0,f2143_66,hsf_4
353,,130.0,26.0,25.0,f2473_81,hsf_4
354,,124.0,26.0,26.0,f2103_60,hsf_4
355,,89.0,22.0,20.0,f2232_76,hsf_4
356,,111.0,26.0,26.0,f2464_74,hsf_4
357,,107.0,26.0,26.0,f2452_69,hsf_4
358,,114.0,27.0,25.0,f2359_72,hsf_4
359,,82.0,23.0,19.0,f2559_95,hsf_4
360,,126.0,26.0,26.0,f2467_77,hsf_4
361,,113.0,26.0,25.0,f2334_99,hsf_4
362,,116.0,26.0,26.0,f2410_85,hsf_4
363,,124.0,20.0,23.0,f2518_67,hsf_4
364,,112.0,21.0,15.0,f2101_62,hsf_4
365,,126.0,21.0,25.0,f2289_62,hsf_4
366,,86.0,23.0,24.0,f2487_92,hsf_4
367,,120.0,21.0,18.0,f2539_96,hsf_4
368,,128.0,23.0,26.0,f2448_94,hsf_4
369,,99.0,26.0,24.0,f2491_71,hsf_4
370,,90.0,24.0,25.0,f2136_68,hsf_4
371,,124.0,26.0,27.0,f2458_53,hsf_4
372,,127.0,25.0,25.0,f2336_99,hsf_4
373,,128.0,26.0,22.0,f2335_52,hsf_4
374,,126.0,24.0,23.0,f2541_99,hsf_4
375,,118.0,26.0,25.0,f2174_61,hsf_4
376,,130.0,26.0,24.0,f2561_89,hsf_4
377,,124.0,25.0,26.0,f2586_75,hsf_4
378,,120.0,22.0,23.0,f2437_50,hsf_4
379,,119.0,26.0,25.0,f2587_73,hsf_4
380,,125.0,22.0,23.0,f2240_80,hsf_4
381,,116.0,24.0,21.0,f2163_51,hsf_4
382,,123.0,26.0,25.0,f2543_98,hsf_4
383,,110.0,23.0,24.0,f2390_87,hsf_4
384,,121.0,24.0,19.0,f2102_52,hsf_4
385,,129.0,25.0,25.0,f2191_53,hsf_4
386,,124.0,25.0,24.0,f2548_84,hsf_4
387,,122.0,26.0,24.0,f2118_60,hsf_4
388,,126.0,22.0,16.0,f2596_86,hsf_4
389,,127.0,24.0,25.0,f2147_79,hsf_4
390,,110.0,24.0,23.0,f2415_79,hsf_4
391,,128.0,26.0,26.0,f2224_82,hsf_4
392,,122.0,26.0,25.0,f2221_70,hsf_4
393,,105.0,24.0,25.0,f2271_86,hsf_4
394,,120.0,24.0,23.0,f2200_55,hsf_4
395,,96.0,24.0,25.0,f2295_67,hsf_4
396,,125.0,26.0,25.0,f2537_57,hsf_4
397,,122.0,24.0,25.0,f2189_50,hsf_4
398,,127.0,26.0,26.0,f2392_80,hsf_4
399,,124.0,25.0,25.0,f2462_98,hsf_4
400,,113.0,26.0,24.0,f2556_97,hsf_4
401,,110.0,26.0,25.0,f2310_51,hsf_4
402,,104.0,18.0,26.0,f2120_61,hsf_4
403,,130.0,24.0,26.0,f2465_75,hsf_4
404,,116.0,25.0,26.0,f2593_72,hsf_4
405,,86.0,19.0,20.0,f2153_90,hsf_4
406,,124.0,26.0,25.0,f2484_76,hsf_4
407,,112.0,27.0,16.0,f2128_52,hsf_4
408,,123.0,26.0,25.0,f2253_73,hsf_4
409,,107.0,26.0,24.0,f2500_50,hsf_4
410,,122.0,25.0,25.0,f2261_76,hsf_4
411,,124.0,24.0,23.0,f2292_70,hsf_4
412,,127.0,25.0,26.0,f2375_61,hsf_4
413,,127.0,26.0,25.0,f2536_59,hsf_4
414,,124.0,25.0,26.0,f2301_65,hsf_4
415,,121.0,22.0,26.0,f2269_89,hsf_4
416,,124.0,25.0,26.0,f2180_96,hsf_4
417,,120.0,24.0,25.0,f2325_86,hsf_4
418,,127.0,20.0,25.0,f2570_52,hsf_4
419,,117.0,27.0,18.0,f2150_52,hsf_4
420,,103.0,26.0,22.0,f2367_63,hsf_4
421,,124.0,27.0,22.0,f2498_75,hsf_4
422,,108.0,27.0,20.0,f2558_96,hsf_4
423,,119.0,26.0,24.0,f2244_94,hsf_4
424,,115.0,24.0,25.0,f2502_59,hsf_4
425,,113.0,21.0,21.0,f2266_81,hsf_4
426,,130.0,26.0,25.0,f2291_65,hsf_4
427,,116.0,26.0,21.0,f2438_76,hsf_4
428,,117.0,23.0,23.0,f2521_66,hsf_4
429,,119.0,21.0,24.0,f2546_62,hsf_4
430,,127.0,26.0,26.0,f2130_74,hsf_4
431,,123.0,26.0,26.0,f2313_55,hsf_4
432,,115.0,21.0,26.0,f2554_55,hsf_4
433,,105.0,21.0,21.0,f2456_71,hsf_4
434,,129.0,26.0,25.0,f2185_57,hsf_4
435,,120.0,24.0,26.0,f2296_73,hsf_4
436,,123.0,24.0,25.0,f2116_72,hsf_4
437,,109.0,24.0,26.0,f2362_73,hsf_4
438,,126.0,24.0,27.0,f2394_84,hsf_4
439,,128.0,26.0,24.0,f2476_67,hsf_4
440,,125.0,24.0,24.0,f2557_98,hsf_4
441,,92.0,26.0,23.0,f2139_75,hsf_4
442,,123.0,26.0,26.0,f2517_63,hsf_4
443,,130.0,24.0,26.0,f2255_70,hsf_4
444,,128.0,26.0,25.0,f2497_54,hsf_4
445,,118.0,25.0,25.0,f2451_68,hsf_4
446,,126.0,25.0,26.0,f2430_92,hsf_4
447,,125.0,26.0,26.0,f2135_53,hsf_4
448,,112.0,13.0,23.0,f2165_54,hsf_4
449,,107.0,26.0,25.0,f2505_79,hsf_4
450,,119.0,21.0,16.0,f2597_88,hsf_4
451,,122.0,22.0,26.0,f2396_91,hsf_4
452,,109.0,24.0,24.0,f2229_88,hsf_4
453,,117.0,23.0,20.0,f2238_86,hsf_4
454,,114.0,23.0,26.0,f2379_68,hsf_4
455,,104.0,25.0,24.0,f2564_59,hsf_4
456,,121.0,21.0,22.0,f2272_85,hsf_4
457,,125.0,24.0,25.0,f2494_73,hsf_4
458,,130.0,26.0,24.0,f2214_70,hsf_4
459,,125.0,25.0,26.0,f2144_67,hsf_4
460,,123.0,26.0,23.0,f2378_69,hsf_4
461,,122.0,25.0,26.0,f2471_82,hsf_4
462,,122.0,25.0,26.0,f2388_79,hsf_4
463,,120.0,24.0,24.0,f2528_69,hsf_4
464,,125.0,25.0,25.0,f2495_59,hsf_4
465,,105.0,22.0,24.0,f2230_67,hsf_4
466,,90.0,26.0,26.0,f2199_64,hsf_4
467,,101.0,24.0,20.0,f2121_67,hsf_4
468,,129.0,26.0,22.0,f2106_66,hsf_4
469,,105.0,22.0,21.0,f2307_62,hsf_4
470,,126.0,22.0,24.0,f2423_88,hsf_4
471,,126.0,26.0,26.0,f2237_82,hsf_4
472,,128.0,25.0,26.0,f2263_79,hsf_4
473,,128.0,25.0,26.0,f2341_65,hsf_4
474,,126.0,24.0,26.0,f2579_76,hsf_4
475,,127.0,26.0,26.0,f2432_94,hsf_4
476,,123.0,26.0,24.0,f2391_85,hsf_4
477,,116.0,24.0,24.0,f2115_77,hsf_4
478,,81.0,24.0,22.0,f2225_86,hsf_4
479,,127.0,22.0,23.0,f2547_96,hsf_4
480,,121.0,25.0,26.0,f2233_79,hsf_4
481,,130.0,24.0,24.0,f2340_80,hsf_4
482,,123.0,26.0,24.0,f2468_78,hsf_4
483,,127.0,22.0,24.0,f2183_59,hsf_4
484,,115.0,26.0,24.0,f2533_94,hsf_4
485,,127.0,26.0,26.0,f2190_52,hsf_4
486,,119.0,25.0,23.0,f2299_91,hsf_4
487,,126.0,25.0,26.0,f2485_77,hsf_4
488,,114.0,18.0,22.0,f2434_59,hsf_4
489,,90.0,25.0,17.0,f2349_78,hsf_4
490,,125.0,23.0,24.0,f2479_65,hsf_4
491,,118.0,23.0,23.0,f2182_95,hsf_4
492,,124.0,18.0,24.0,f2386_82,hsf_4
493,,94.0,19.0,25.0,f2478_68,hsf_4
494,,120.0,24.0,24.0,f2398_51,hsf_4
495,,116.0,23.0,23.0,f2372_55,hsf_4
496,,105.0,21.0,23.0,f2175_59,hsf_4
497,,115.0,22.0,24.0,f2352_97,hsf_4
498,,128.0,26.0,25.0,f2555_88,hsf_4
499,,130.0,26.0,26.0,f2532_93,hsf_4
500,,122.0,24.0,26.0,f1998_10,hsf_3
501,,97.0,17.0,22.0,f2023_12,hsf_3
502,,129.0,26.0,22.0,f1837_00,hsf_3
503,,123.0,26.0,26.0,f1702_13,hsf_3
504,,127.0,26.0,25.0,f1875_21,hsf_3
505,,120.0,22.0,23.0,f1907_22,hsf_3
506,,102.0,14.0,17.0,f2094_44,hsf_3
507,,93.0,25.0,26.0,f1657_06,hsf_3
508,,112.0,26.0,22.0,f1661_05,hsf_3
509,,124.0,21.0,23.0,f1582_49,hsf_3
510,,30.0,,,f1965_23,hsf_3
511,,111.0,21.0,21.0,f1611_08,hsf_3
512,,127.0,26.0,26.0,f1559_25,hsf_3
513,,62.0,21.0,20.0,f1576_04,hsf_3
514,,117.0,24.0,21.0,f1692_18,hsf_3
515,,106.0,25.0,17.0,f1823_43,hsf_3
516,,105.0,26.0,23.0,f1677_01,hsf_3
